,0,1,2
574,3.375,2.25,7.0
575,30.125,25.278,34.0
576,11.0,10.375,10.0
577,9.75,10.125,10.0
578,5.625,4.75,8.0
579,51.5,46.5,55.0
580,5.25,6.75,7.0
581,3.375,3.25,4.0
582,18.458,16.5,17.0
583,12.25,7.625,11.0
584,7.125,4.375,8.0
585,6.75,5.375,6.0
586,11.25,10.25,9.0
587,10.125,7.083,10.0
588,28.625,19.666,31.0
589,9.25,8.75,15.0
590,6.625,5.875,11.0
591,15.833,13.75,24.0
592,10.625,7.5,13.0
593,48.125,28.875,44.0
594,40.888999999999996,26.972,37.0
595,9.5,5.208,9.0
596,8.0,8.625,17.0
597,49.875,36.625,69.0
598,6.0,4.625,5.0
599,7.75,6.875,13.0
600,36.5,31.0,37.0
601,7.0,4.125,10.0
602,10.375,8.5,18.0
603,15.875,15.136,25.0
604,37.5,34.625,36.0
605,41.0,29.5,44.0
606,25.0,19.75,20.0
607,5.5,4.875,9.0
608,7.125,8.333,10.0
609,21.375,15.25,24.0
610,39.75,37.083,54.0
611,24.0,26.375,30.0
612,29.0,20.718999999999998,28.0
613,44.625,37.125,48.0
614,26.375,21.75,38.0
615,40.25,31.5,38.0
616,41.625,31.708,34.0
617,25.5,20.125,22.0
618,14.75,9.5,14.0
619,11.625,10.875,18.0
620,42.875,37.75,31.0
621,33.5,23.875,20.0
622,33.5,23.875,20.0
623,38.875,34.0,48.0
624,22.75,16.375,32.0
625,86.375,53.625,83.0
626,39.0,21.583,39.0
627,44.25,30.75,38.0
628,37.75,36.635999999999996,44.0
629,27.458,23.790999999999997,36.0
630,52.875,42.986,47.0
631,146.75,102.833,172.0
632,28.0,19.5,26.0
633,21.5,14.0,41.0
634,11.625,5.583,14.0
635,12.25,10.125,8.0
636,43.5,35.25,33.0
637,29.375,18.125,24.0
638,20.875,16.5,28.0
639,58.25,37.708,54.0
640,20.931,10.913,16.0
641,12.75,8.125,21.0
642,13.375,9.125,19.0
643,7.0,6.0,12.0
644,17.5,16.0,25.0
645,50.25,39.5,62.0
646,35.375,36.875,43.0
647,58.25,38.375,56.0
648,40.0,32.0,35.0
649,11.125,7.458,10.0
650,43.625,29.75,31.0
651,19.0,17.0,22.0
652,53.5,40.125,53.0
653,44.75,32.5,46.0
654,131.375,106.011,179.0
655,25.75,21.625,24.0
656,19.5,18.75,11.0
657,62.75,41.875,58.0
658,21.625,21.5,22.0
659,79.52799999999999,56.18,87.0
660,36.75,27.75,31.0
661,42.75,34.333,44.0
662,10.625,6.75,10.0
663,48.875,36.958,35.0
664,22.5,15.5,32.0
665,40.125,22.528,38.0
666,34.75,22.125,32.0
667,41.875,32.375,63.0
668,14.125,13.5,14.0
669,78.513,56.69499999999999,74.0
670,6.5,7.5,10.0
671,18.375,20.25,24.0
672,12.458,10.625,13.0
673,25.875,24.375,42.0
674,73.5,59.375,88.0
675,29.625,26.5,39.0
676,47.125,36.625,29.0
677,29.875,24.040999999999997,20.0
678,7.5,7.208,16.0
679,31.0,21.5,46.0
680,42.75,35.625,59.0
681,20.125,14.25,13.0
682,13.0,11.375,21.0
683,12.5,11.875,14.0
684,23.25,18.125,33.0
685,74.028,74.722,78.0
686,21.125,16.125,33.0
687,35.25,18.625,25.0
688,23.75,17.0,27.0
689,47.333,46.25,68.0
690,24.125,17.511,39.0
691,35.0,26.808,59.0
692,13.125,11.0,21.0
693,40.5,28.875,36.0
694,12.5,10.5,18.0
695,46.25,38.611,45.0
696,12.625,16.875,16.0
697,63.25,49.375,65.0
698,22.0,24.625,24.0
699,34.083,26.125,32.0
700,35.625,20.875,36.0
701,28.875,24.083,31.0
702,49.75,37.875,57.0
703,6.625,7.625,14.0
704,50.556,31.194000000000003,31.0
